execucao|qtd_amostra|rodada|tmp_python|tmp_total
20|128000|7|0.03605842590332031|2.2594597339630127
21|128000|7|0.035674095153808594|2.2518556118011475
22|128000|7|0.0358891487121582|2.2795679569244385
23|128000|7|0.03578352928161621|2.260911226272583
24|128000|7|0.03539252281188965|2.4636011123657227
25|128000|7|0.03560495376586914|2.2599282264709473
26|128000|7|0.035439252853393555|2.465210199356079
27|128000|7|0.0364377498626709|2.4213109016418457
28|128000|7|0.035199642181396484|2.2521708011627197
29|128000|7|0.035718679428100586|2.469508647918701
30|128000|7|0.04402637481689453|2.3601880073547363
31|128000|7|0.04654288291931152|2.4962048530578613
32|128000|7|0.04590916633605957|2.4417996406555176
33|128000|7|0.04263019561767578|2.3723788261413574
34|128000|7|0.04342079162597656|2.3747966289520264
35|128000|7|0.04403066635131836|2.36139178276062
36|128000|7|0.04364514350891113|2.4937820434570312
37|128000|7|0.04257512092590332|2.4158666133880615
38|128000|7|0.04414844512939453|2.347268581390381
39|128000|7|0.04195356369018555|2.3475518226623535
40|128000|7|0.04259300231933594|2.3315813541412354
41|128000|7|0.05468559265136719|2.3480703830718994
42|128000|7|0.04244565963745117|2.315537691116333
43|128000|7|0.04260063171386719|2.3243627548217773
44|128000|7|0.04171395301818848|2.3193204402923584
45|128000|7|0.04186558723449707|2.313086748123169
46|128000|7|0.04751729965209961|2.311682939529419
47|128000|7|0.04671216011047363|2.4323580265045166
48|128000|7|0.04277634620666504|2.3716816902160645
49|128000|7|0.04241180419921875|2.2847790718078613
0|256000|8|0.05720877647399902|4.676358938217163
1|256000|8|0.0796506404876709|4.692366600036621
2|256000|8|0.08239126205444336|5.150038003921509
3|256000|8|0.07088351249694824|5.422814130783081
4|256000|8|0.07177281379699707|4.81792688369751
5|256000|8|0.07246947288513184|4.8814074993133545
6|256000|8|0.0760507583618164|4.737589120864868
7|256000|8|0.06544256210327148|4.629900217056274
8|256000|8|0.05819416046142578|4.570106029510498
9|256000|8|0.06407475471496582|4.572510242462158
10|256000|8|0.06464409828186035|4.545093059539795
11|256000|8|0.06226038932800293|4.529665470123291
12|256000|8|0.06245565414428711|4.571857452392578
13|256000|8|0.05812549591064453|4.509170055389404
14|256000|8|0.05768418312072754|4.545893669128418
15|256000|8|0.05678582191467285|4.495604991912842
16|256000|8|0.058496952056884766|4.53430700302124
17|256000|8|0.05660080909729004|4.508592844009399
18|256000|8|0.05957603454589844|4.5138349533081055
19|256000|8|0.05689692497253418|4.5016930103302
20|256000|8|0.058399200439453125|4.511866807937622
21|256000|8|0.05645322799682617|4.491234064102173
22|256000|8|0.059388160705566406|4.519652843475342
23|256000|8|0.06758618354797363|4.833650827407837
24|256000|8|0.07163786888122559|4.833231210708618
25|256000|8|0.0689249038696289|4.736913442611694
26|256000|8|0.0700383186340332|4.741253137588501
27|256000|8|0.06851983070373535|4.705797910690308
28|256000|8|0.0622100830078125|4.671727657318115
29|256000|8|0.05776262283325195|4.599651575088501
30|256000|8|0.057801008224487305|4.559750318527222
31|256000|8|0.05664634704589844|4.566033840179443
32|256000|8|0.057860374450683594|4.589598655700684
33|256000|8|0.05643343925476074|4.553410291671753
34|256000|8|0.05777692794799805|4.539954423904419
35|256000|8|0.05668234825134277|4.565138578414917
36|256000|8|0.057753801345825195|4.560014963150024
37|256000|8|0.05666303634643555|4.538126468658447
38|256000|8|0.058218955993652344|4.524369955062866
39|256000|8|0.05693316459655762|4.536790609359741
40|256000|8|0.059799909591674805|4.7589497566223145
41|256000|8|0.0568699836730957|4.524531841278076
42|256000|8|0.05776214599609375|4.528707027435303
43|256000|8|0.056264638900756836|4.5007004737854
44|256000|8|0.05855679512023926|4.516861438751221
45|256000|8|0.05722928047180176|4.515723466873169
46|256000|8|0.05744647979736328|4.5545806884765625
47|256000|8|0.056697845458984375|4.50274920463562
48|256000|8|0.05785703659057617|4.497073411941528
49|256000|8|0.0574033260345459|4.54486346244812
0|512000|9|0.1520695686340332|9.25058388710022
1|512000|9|0.16592979431152344|9.067526578903198
2|512000|9|0.1619720458984375|9.044898271560669
3|512000|9|0.16222500801086426|9.075517416000366
4|512000|9|0.1629960536956787|9.107976913452148
5|512000|9|0.1531524658203125|9.071958780288696
6|512000|9|0.16163086891174316|9.088183164596558
7|512000|9|0.16272544860839844|9.069649696350098
8|512000|9|0.16641473770141602|9.056661367416382
9|512000|9|0.1605699062347412|9.05593752861023
10|512000|9|0.16433000564575195|9.195901155471802
11|512000|9|0.18009090423583984|9.675039529800415
12|512000|9|0.17618560791015625|9.523401498794556
13|512000|9|0.17572021484375|9.257622480392456
14|512000|9|0.16627955436706543|9.382816076278687
15|512000|9|0.1877899169921875|9.931424140930176
16|512000|9|0.1884465217590332|9.617034435272217
17|512000|9|0.17567777633666992|9.275741338729858
18|512000|9|0.17467021942138672|9.176843404769897
19|512000|9|0.17785048484802246|9.246416330337524
20|512000|9|0.16888785362243652|9.217216968536377
21|512000|9|0.16185402870178223|9.239022970199585
22|512000|9|0.1609821319580078|9.532423257827759
23|512000|9|0.17744207382202148|9.745083570480347
24|512000|9|0.15656661987304688|9.437360525131226
25|512000|9|0.16568779945373535|10.469329595565796
26|512000|9|0.17679357528686523|9.682676792144775
27|512000|9|0.1649777889251709|9.67268967628479
28|512000|9|0.1841578483581543|9.570861101150513
29|512000|9|0.16133618354797363|10.789539337158203
30|512000|9|0.20336103439331055|9.504494190216064
31|512000|9|0.1793525218963623|10.573695182800293
32|512000|9|0.17224836349487305|9.592441320419312
33|512000|9|0.18798017501831055|9.695448875427246
34|512000|9|0.19889545440673828|9.52695894241333
35|512000|9|0.1679086685180664|9.938721895217896
36|512000|9|0.16748905181884766|10.003726482391357
37|512000|9|0.17147111892700195|9.441025972366333
38|512000|9|0.18474864959716797|9.301120042800903
39|512000|9|0.1893298625946045|9.33457899093628
40|512000|9|0.17202973365783691|9.29887342453003
41|512000|9|0.17209386825561523|9.214521169662476
42|512000|9|0.17869257926940918|9.676737785339355
43|512000|9|0.1650834083557129|9.620748043060303
44|512000|9|0.16994810104370117|10.009234189987183
45|512000|9|0.1630539894104004|9.314043521881104
46|512000|9|0.1786637306213379|9.175413608551025
47|512000|9|0.1414051055908203|11.863407373428345
48|512000|9|0.1435239315032959|9.28191328048706
49|512000|9|0.14431500434875488|9.19552230834961
0|1024000|10|0.3485383987426758|18.671255350112915
1|1024000|10|0.36335325241088867|19.29146647453308
2|1024000|10|0.27930259704589844|18.216593027114868
3|1024000|10|0.28035831451416016|19.99601459503174
4|1024000|10|0.277742862701416|19.963919162750244
5|1024000|10|0.3409383296966553|19.600900888442993
6|1024000|10|0.3437349796295166|19.254776000976562
7|1024000|10|0.40171217918395996|19.213369369506836
8|1024000|10|0.3471951484680176|18.845815658569336
9|1024000|10|0.3381800651550293|19.597795963287354
10|1024000|10|0.3697197437286377|19.353822946548462
11|1024000|10|0.30779027938842773|19.28356385231018
12|1024000|10|0.27653956413269043|19.674278736114502
13|1024000|10|0.2509915828704834|18.432623386383057
14|1024000|10|0.24019861221313477|18.11421227455139
15|1024000|10|0.2443990707397461|18.052093029022217
16|1024000|10|0.28667521476745605|17.991907596588135
17|1024000|10|0.24452495574951172|18.0530903339386
18|1024000|10|0.3209958076477051|17.996638774871826
19|1024000|10|0.23738503456115723|18.064429759979248
20|1024000|10|0.24605298042297363|17.90098261833191
21|1024000|10|0.3008558750152588|17.985880851745605
22|1024000|10|0.24303746223449707|18.049548387527466
23|1024000|10|0.2485363483428955|17.929434061050415
24|1024000|10|0.3073995113372803|18.044572830200195
25|1024000|10|0.2472391128540039|17.988468170166016
26|1024000|10|0.28861474990844727|18.135047435760498
27|1024000|10|0.258159875869751|18.029457092285156
28|1024000|10|0.25766658782958984|18.07447862625122
29|1024000|10|0.2622866630554199|17.963773727416992
30|1024000|10|0.31508755683898926|18.055031776428223
31|1024000|10|0.3145580291748047|19.170019388198853
32|1024000|10|0.24976611137390137|18.770878076553345
33|1024000|10|0.24272727966308594|18.370108604431152
34|1024000|10|0.2509171962738037|18.19701361656189
35|1024000|10|0.3478066921234131|18.323909044265747
36|1024000|10|0.3035004138946533|19.44037675857544
37|1024000|10|0.31566762924194336|20.967861652374268
38|1024000|10|0.2474968433380127|18.511322736740112
39|1024000|10|0.2559928894042969|18.40718674659729
40|1024000|10|0.28957414627075195|18.231536149978638
41|1024000|10|0.2707681655883789|18.532647371292114
42|1024000|10|0.2890791893005371|17.856440544128418
43|1024000|10|0.2834434509277344|17.993592023849487
44|1024000|10|0.3179285526275635|18.191139221191406
45|1024000|10|0.3121201992034912|18.061673164367676
46|1024000|10|0.3142397403717041|17.972347497940063
47|1024000|10|0.32451915740966797|18.256888389587402
48|1024000|10|0.32996511459350586|18.079164743423462
49|1024000|10|0.316389799118042|18.077610731124878
