rodada;qtd_amostra;execucao;tmp_total;tmp_python
6;64000;15;7700;5.46881818771362
6;64000;16;7016;4.79693675041199
6;64000;17;7734;5.50006794929504
6;64000;18;6346;4.12505054473877
6;64000;19;7234;4.98443746566772
6;64000;20;7390;5.15631484985352
6;64000;21;7580;5.35944223403931
6;64000;22;6750;4.48443102836609
6;64000;23;7560;5.35944199562073
6;64000;24;7190;4.95318746566772
6;64000;25;8123;5.90632367134094
6;64000;26;6500;4.26567792892456
6;64000;27;7237;5.0000627040863
6;64000;28;7030;4.79693484306335
6;64000;29;6406;4.18755173683167
6;64000;30;6530;4.31255340576172
6;64000;31;7017;4.78131008148193
6;64000;32;7093;4.85943579673767
6;64000;33;6784;4.48443150520325
6;64000;34;7310;5.06256365776062
6;64000;35;7093;4.78131198883057
6;64000;36;7627;5.40631747245789
6;64000;37;6546;4.29692816734314
6;64000;38;7220;5.0000627040863
6;64000;39;7234;5.00006222724915
6;64000;40;8156;5.9531991481781
6;64000;41;6577;4.34380483627319
6;64000;42;7457;5.25006580352783
6;64000;43;6950;4.70318365097046
6;64000;44;8050;5.84382057189941
6;64000;45;6546;4.28130340576172
6;64000;46;6890;4.67193341255188
6;64000;47;7064;4.79693508148193
6;64000;48;7653;5.35944151878357
6;64000;49;6457;4.25005102157593
7;128000;0;11970;9.59387063980103
7;128000;1;11343;8.90636157989502
7;128000;2;12844;10.4063789844513
7;128000;3;11156;8.75010919570923
7;128000;4;12517;10.0782516002655
7;128000;5;11547;9.15636467933655
7;128000;6;12203;9.85949802398682
7;128000;7;10873;8.43760466575623
7;128000;8;11813;9.43761849403381
7;128000;9;12234;9.78137302398682
7;128000;10;12016;9.64074540138245
7;128000;11;11344;8.92198610305786
7;128000;12;11953;9.53136920928955
7;128000;13;11343;8.90636134147644
7;128000;14;12190;9.76574635505676
7;128000;15;11437;9.04698801040649
7;128000;16;13030;10.59388256073
7;128000;17;11097;8.67198348045349
7;128000;18;13140;10.5626320838928
7;128000;19;11670;9.26574087142944
7;128000;20;12406;10.0001254081726
7;128000;21;12220;9.78137230873108
7;128000;22;12204;9.75012159347534
7;128000;23;12406;9.98450016975403
7;128000;24;12594;10.1876277923584
7;128000;25;12330;9.90637445449829
7;128000;26;12343;9.92199873924255
7;128000;27;12060;9.62512135505676
7;128000;28;11297;8.90636086463928
7;128000;29;12516;10.0938763618469
7;128000;30;11580;9.18761539459229
7;128000;31;11690;9.29699087142944
7;128000;32;11296;8.85948610305786
7;128000;33;12704;10.2813792228699
7;128000;34;12123;9.70324635505676
7;128000;35;12750;10.312628030777
7;128000;36;11033;8.64073300361633
7;128000;37;12610;10.1876277923584
7;128000;38;11717;9.2657413482666
7;128000;39;12737;10.3126287460327
7;128000;40;10906;8.51573133468628
7;128000;41;13547;11.1251389980316
7;128000;42;11563;9.12511396408081
7;128000;43;12310;9.92199945449829
7;128000;44;11157;8.67198371887207
7;128000;45;12250;9.85949850082397
7;128000;46;11783;9.37511706352234
7;128000;47;11967;9.53136873245239
7;128000;48;11173;8.79698419570923
7;128000;49;12157;9.71887159347534
8;256000;0;22220;19.4221184253693
8;256000;1;22187;19.3439924716949
8;256000;2;22703;19.8439993858337
8;256000;3;22143;19.2814919948578
8;256000;4;21547;18.6877346038818
8;256000;5;22030;19.2189908027649
8;256000;6;21813;18.9689877033234
8;256000;7;22047;19.1721153259277
8;256000;8;22720;19.8752493858337
8;256000;9;22157;19.3127422332764
8;256000;10;21000;18.1721034049988
8;256000;11;23796;20.9221367835999
8;256000;12;22484;19.6564962863922
8;256000;13;22016;19.2189900875092
8;256000;14;21190;18.375230550766
8;256000;15;22437;19.5471198558807
8;256000;16;21577;18.7658605575562
8;256000;17;21643;18.8283607959747
8;256000;18;21437;18.6252348423004
8;256000;19;22453;19.6408710479736
8;256000;20;22563;19.7502477169037
8;256000;21;22564;19.7189970016479
8;256000;22;22420;19.6252462863922
8;256000;23;23050;20.2033784389496
8;256000;24;21670;18.8439860343933
8;256000;25;21610;18.8283607959747
8;256000;26;22563;19.7033717632294
8;256000;27;20983;18.172102689743
8;256000;28;22814;19.9846248626709
8;256000;29;22203;19.3596177101135
8;256000;30;22407;19.5002436637878
8;256000;31;20940;18.0627272129059
8;256000;32;21343;18.4689819812775
8;256000;33;21983;19.1721150875092
8;256000;34;21640;18.8283612728119
8;256000;35;21127;18.2814788818359
8;256000;36;21513;18.6564843654633
8;256000;37;21733;18.8908615112305
8;256000;38;22173;19.3596177101135
8;256000;39;21547;18.6877343654633
8;256000;40;21627;18.7658605575562
8;256000;41;22046;19.2033655643463
8;256000;42;22860;20.0158755779266
8;256000;43;22564;19.7189972400665
8;256000;44;22873;20.000251531601
8;256000;45;22033;19.2346160411835
8;256000;46;21907;19.0314886569977
8;256000;47;20967;18.1564781665802
8;256000;48;22203;19.4064931869507
8;256000;49;21970;19.1096150875092
9;512000;0;46733;43.0317890644073
9;512000;1;45347;41.6723976135254
9;512000;2;46576;42.9067885875702
9;512000;3;47190;43.5161709785461
9;512000;4;46064;42.3755304813385
9;512000;5;45920;42.2661542892456
9;512000;6;44986;41.2973928451538
9;512000;7;47517;43.8130495548248
9;512000;8;46873;43.2036666870117
9;512000;9;46050;42.3755309581757
9;512000;10;45187;41.5317707061768
9;512000;11;46813;43.0942902565002
9;512000;12;46860;43.1880416870117
9;512000;13;45860;42.17240691185
9;512000;14;45577;41.9067759513855
9;512000;15;48080;44.4224321842194
9;512000;16;46860;43.2036671638489
9;512000;17;46080;42.3130300045013
9;512000;18;45983;42.3442809581757
9;512000;19;46470;42.7661609649658
9;512000;20;47924;44.2349298000336
9;512000;21;45843;42.1099030971527
9;512000;22;45157;41.500519990921
9;512000;23;47064;43.4224195480347
9;512000;24;46703;43.0005393028259
9;512000;25;46640;42.8755371570587
9;512000;26;45220;41.5473959445953
9;512000;27;47657;43.984926700592
9;512000;28;47546;43.8599257469177
9;512000;29;45844;42.1880285739899
9;512000;30;45770;42.0786530971527
9;512000;31;47076;43.4067943096161
9;512000;32;46860;43.1411657333374
9;512000;33;46250;42.5786588191986
9;512000;34;46580;42.9067902565002
9;512000;35;47500;43.8286743164063
9;512000;36;46080;42.3755316734314
9;512000;37;46110;42.43803191185
9;512000;38;45814;42.1255283355713
9;512000;39;46030;42.3755316734314
9;512000;40;46656;42.9380385875702
9;512000;41;46657;43.0317900180817
9;512000;42;45860;42.203654050827
9;512000;43;47203;43.5630464553833
9;512000;44;48173;44.4536826610565
9;512000;45;46407;42.6411600112915
9;512000;46;45890;42.2349047660828
9;512000;47;46173;42.4536571502686
9;512000;48;46577;42.906788110733
9;512000;49;47376;43.6724226474762
10;1024000;0;109907;104.391932964325
10;1024000;1;110893;105.360696554184
10;1024000;2;111487;105.93882894516
10;1024000;3;110483;105.016942501068
10;1024000;4;110157;104.673188447952
10;1024000;5;111096;105.595074892044
10;1024000;6;110970;105.470073223114
10;1024000;7;110580;105.063816308975
10;1024000;8;111047;105.54819893837
10;1024000;9;109440;103.876302957535
10;1024000;10;113157;107.626350641251
10;1024000;11;113190;107.673225641251
10;1024000;12;109596;104.126306295395
10;1024000;13;110984;105.470072507858
10;1024000;14;112596;106.891966104507
10;1024000;15;109970;104.423184871674
10;1024000;16;109564;104.048192501068
10;1024000;17;111953;106.407585144043
10;1024000;18;112677;107.204472780228
10;1024000;19;110343;104.813815593719
10;1024000;20;110330;104.766939401627
10;1024000;21;110377;104.860690355301
10;1024000;22;110093;104.579437017441
10;1024000;23;108987;103.454422950745
10;1024000;24;110580;105.110694169998
10;1024000;25;109844;104.282558441162
10;1024000;26;110656;105.032567739487
10;1024000;27;110707;105.204444885254
10;1024000;28;109797;104.282557725906
10;1024000;29;111283;105.798202514648
10;1024000;30;111250;105.688825845718
10;1024000;31;111160;105.610699653625
10;1024000;32;111297;105.798202753067
10;1024000;33;110800;105.016942501068
10;1024000;34;110876;105.313821077347
10;1024000;35;111000;105.470072031021
10;1024000;36;109814;104.329432249069
10;1024000;37;111784;106.29821228981
10;1024000;38;109910;104.376309394836
10;1024000;39;112827;107.204469919205
10;1024000;40;108720;102.86066532135
10;1024000;41;110283;104.782564640045
10;1024000;42;110253;104.610687732697
10;1024000;43;109220;103.688801288605
10;1024000;44;110407;104.907565832138
10;1024000;45;110643;105.126318693161
10;1024000;46;110687;105.188840389252
10;1024000;47;111050;105.423197507858
10;1024000;48;111220;105.704451084137
10;1024000;49;109470;103.891928195953
