qtd_amostra_col|media_mssql_tp_python|sem_mssql_tp_python|icmenos_mssql_tp_python|icmais_mssql_tp_python|media_mssql_tp_total|sem_mssql_tp_total|icmenos_mssql_tp_total|icmais_mssql_tp_total|media_extpython_tp_python|sem_extpython_tp_python|icmenos_extpython_tp_python|icmais_extpython_tp_python|media_extpython_tp_total|sem_extpython_tp_total|icmenos_extpython_tp_total|icmais_extpython_tp_total|porc_media_mssql_python_vs_total|porc_media_extpython_python_vs_total|razao_media_mssql_ext_total|razao_media_mssql_ext_python
1000|0.12343870162963885|0.002057954867776704|0.11930308649365827|0.12757431676561942|2175.72|66.14682518180787|2042.7929782745516|2308.647021725448|0.004803743362426758|5.898770128045169e-05|0.004685203138794115|0.004922283586059401|0.025265374183654786|0.00032990594253889873|0.024602403371817794|0.02592834499549178|0.005673464491278237|19.013149488735845|86114.69532113888|25.69635642801701
2000|0.17468926906585708|0.010447798574445685|0.15369363179571938|0.19568490633599478|2159.34|11.438339040262795|2136.353797140997|2182.3262028590034|0.005840535163879394|7.412753736565466e-05|0.005691570300595701|0.005989500027163088|0.04568906307220459|0.000964530589219208|0.04375076628720238|0.0476273598572068|0.008089938085982618|12.783223754554388|47261.63888691464|29.90980520864207
4000|1.0025123262405393|0.12161164271566804|0.7581245808135828|1.2469000716674958|2997.86|121.25737178516157|2754.1841886612888|3241.5358113387115|0.0061335134506225585|0.00011093628164907381|0.00591057864641426|0.006356448254830857|0.08243049144744873|0.0009515854593616612|0.08051820887481549|0.08434277402008196|0.03344093207289664|7.440830866006435|36368.3383097528|163.4482966918061
8000|1.457830376625061|0.13518649707343708|1.186162940068934|1.7294978131811882|3475.92|135.39625545721984|3203.8310381905967|3748.0089618094034|0.007714471817016602|9.179804183867122e-05|0.0075299967455630034|0.007898946888470199|0.17170742511749268|0.0020707635509895957|0.16754606996894106|0.1758687802660443|0.04194084951969727|4.492800361858487|20243.27135312619|188.9734529082568
16000|1.8293976306915292|0.11323058256631624|1.6018522561794746|2.0569430052035838|3881.92|113.1416841209034|3654.5532736022315|4109.286726397769|0.015518198013305664|0.0005381435509369024|0.014436758060742783|0.016599637965868545|0.3017261457443237|0.0023029902744585258|0.29709811352350235|0.3063541779651451|0.04712610333782069|5.143139973840866|12865.706385582693|117.887246259067
32000|3.0134748649597163|0.10077751512049843|2.810954866380201|3.2159948635392315|5137.88|100.51139295764293|4935.894793928308|5339.865206071692|0.016306242942810058|0.00011500014739417097|0.016075141494644122|0.016537344390975994|0.5721360063552856|0.001617467344873564|0.5688855840364326|0.5753864286741386|0.05865210680202177|2.850064103933391|8980.172446635834|184.8049777946215
64000|4.971624526977539|0.07609402976462805|4.818707849270058|5.124541204685021|7206.0|75.42768938878223|7054.422383409559|7357.577616590441|0.02215397834777832|0.00015550443041931975|0.021841480495554306|0.022466476200002337|1.1678242206573486|0.005852371153250348|1.1560634405247376|1.1795850007899595|0.06899284661362114|1.897030217039703|6170.449175941791|224.41226803293824
128000|9.56324459552765|0.08722730117594117|9.387954771313147|9.738534419742152|11982.98|88.434435485233|11805.264348572842|12160.695651427157|0.040378737449646|0.0006035250934587681|0.03916590836843847|0.041591566530853524|2.358322138786316|0.01192302274711018|2.3343619275534717|2.3822823500191603|0.07980689774603354|1.712180740092889|5081.146380692039|236.8386234823073
256000|19.192428150177|0.08486622256720111|19.021883091061305|19.362973209292697|22029.92|85.57584457959035|21857.948902062355|22201.89109793764|0.06162484645843506|0.0009422727275197886|0.059731278521076694|0.06351841439579342|4.620592770576477|0.024591658171875568|4.571173983339252|4.670011557813702|0.08711982680907149|1.333700014657353|4767.769222227193|311.43977231849135
512000|42.78959916591644|0.1095359300502498|42.56947847360072|43.00971985823217|46473.32|109.81915910314761|46252.630137593886|46694.009862406114|0.17014014720916748|0.0018226163478226969|0.16647746253460782|0.17380283188372714|9.521799287796021|0.07342069421573238|9.37425487900108|9.669343696590962|0.09207347175953093|1.7868487043959653|4880.7287987643585|251.49619221447844
1024000|105.16569502830505|0.1442605874181115|104.87579252451675|105.45559753209335|110708.3|143.10621501357028|110420.71729440724|110995.88270559277|0.2930334663391113|0.005765877048067192|0.28144650261820575|0.3046204300600169|18.544739184379576|0.1002463741958512|18.343286553448255|18.746191815310898|0.09499350548089443|1.5801433680228645|5969.795471335113|358.88629494148853
