rodada;qtd_amostra;execucao;tmp_total;tmp_python;origem
1;2000;49;2123;0.156251430511475;SQL_Server
2;4000;0;2393;0.421879529953003;SQL_Server
2;4000;1;4374;2.39065504074097;SQL_Server
2;4000;2;2750;0.750010013580322;SQL_Server
2;4000;3;2390;0.328128576278687;SQL_Server
2;4000;4;2360;0.343751668930054;SQL_Server
2;4000;5;4126;2.12502646446228;SQL_Server
2;4000;6;4374;2.34377980232239;SQL_Server
2;4000;7;2343;0.359379291534424;SQL_Server
2;4000;8;2330;0.343753337860107;SQL_Server
2;4000;9;4250;2.28127908706665;SQL_Server
2;4000;10;2780;0.796885013580322;SQL_Server
2;4000;11;2330;0.343754053115845;SQL_Server
2;4000;12;2343;0.359378814697266;SQL_Server
2;4000;13;3640;1.64064574241638;SQL_Server
2;4000;14;4267;2.29690384864807;SQL_Server
2;4000;15;2297;0.328129291534424;SQL_Server
2;4000;16;2373;0.390629053115845;SQL_Server
2;4000;17;4377;2.34377908706665;SQL_Server
2;4000;18;4266;2.26565361022949;SQL_Server
2;4000;19;2327;0.343754768371582;SQL_Server
2;4000;20;2500;0.515633821487427;SQL_Server
2;4000;21;4297;2.29690289497375;SQL_Server
2;4000;22;2703;0.703133344650269;SQL_Server
2;4000;23;2297;0.343753576278687;SQL_Server
2;4000;24;2343;0.343752861022949;SQL_Server
2;4000;25;4313;2.34377956390381;SQL_Server
2;4000;26;4297;2.31252980232239;SQL_Server
2;4000;27;2327;0.312504053115845;SQL_Server
2;4000;28;2360;0.375003576278687;SQL_Server
2;4000;29;4250;2.28127837181091;SQL_Server
2;4000;30;2313;0.343753814697266;SQL_Server
2;4000;31;2470;0.484380960464478;SQL_Server
2;4000;32;2343;0.359378814697266;SQL_Server
2;4000;33;2764;0.765634775161743;SQL_Server
2;4000;34;2346;0.328128814697266;SQL_Server
2;4000;35;2360;0.359378814697266;SQL_Server
2;4000;36;2357;0.359379291534424;SQL_Server
2;4000;37;2673;0.671883106231689;SQL_Server
2;4000;38;2327;0.343754053115845;SQL_Server
2;4000;39;2393;0.343753814697266;SQL_Server
2;4000;40;2404;0.421880006790161;SQL_Server
2;4000;41;4220;2.23440289497375;SQL_Server
2;4000;42;2720;0.718758821487427;SQL_Server
2;4000;43;2420;0.328129291534424;SQL_Server
2;4000;44;2453;0.437505006790161;SQL_Server
2;4000;45;4330;2.35940432548523;SQL_Server
2;4000;46;4343;2.32815361022949;SQL_Server
2;4000;47;2360;0.359379291534424;SQL_Server
2;4000;48;2327;0.343753814697266;SQL_Server
2;4000;49;3593;1.60939502716064;SQL_Server
3;8000;0;2576;0.578131914138794;SQL_Server
3;8000;1;2594;0.562507152557373;SQL_Server
3;8000;2;2626;0.640630960464478;SQL_Server
3;8000;3;4327;2.32815361022949;SQL_Server
3;8000;4;4487;2.43753051757813;SQL_Server
3;8000;5;2623;0.593756437301636;SQL_Server
3;8000;6;2593;0.57813024520874;SQL_Server
3;8000;7;2720;0.671883106231689;SQL_Server
3;8000;8;4467;2.39065504074097;SQL_Server
3;8000;9;4297;2.31252861022949;SQL_Server
3;8000;10;2643;0.609382629394531;SQL_Server
3;8000;11;2670;0.640630722045898;SQL_Server
3;8000;12;4470;2.4531557559967;SQL_Server
3;8000;13;4577;2.56253147125244;SQL_Server
3;8000;14;2656;0.609382390975952;SQL_Server
3;8000;15;2644;0.656257390975952;SQL_Server
3;8000;16;4513;2.53128218650818;SQL_Server
3;8000;17;4610;2.60940766334534;SQL_Server
3;8000;18;2780;0.765634059906006;SQL_Server
3;8000;19;2610;0.609381914138794;SQL_Server
3;8000;20;4563;2.5469069480896;SQL_Server
3;8000;21;4594;2.59378242492676;SQL_Server
3;8000;22;2610;0.578132390975952;SQL_Server
3;8000;23;2670;0.671882629394531;SQL_Server
3;8000;24;5033;2.96878743171692;SQL_Server
